id,index,Event Date,Pref_days,pref_times,pref_topic
7574502084,34,2024-09-17,Tuesdays, 4pm - 6pm,nil
7574502084,34,2024-09-17,Tuesdays, 6pm - 8pm,nil
7574502084,34,2024-09-17, Wednesdays,2pm - 4pm,nil
7574502084,34,2024-09-17, Wednesdays, 4pm - 6pm,nil
7574502084,34,2024-09-17, Wednesdays, 6pm - 8pm,nil
7574502084,34,2024-09-17, Thursdays,2pm - 4pm,nil
7574502084,34,2024-09-17, Thursdays, 4pm - 6pm,nil
7574502084,34,2024-09-17, Thursdays, 6pm - 8pm,nil
7574503701,35,2024-09-26,Mondays,4pm - 6pm,IT
7574503701,35,2024-09-26,Mondays,4pm - 6pm, AI
7574503701,35,2024-09-26,Mondays,4pm - 6pm, Tech
7574503701,35,2024-09-26,Mondays,4pm - 6pm, UX/Psychology based startups
7574503701,35,2024-09-26,Mondays, 6pm - 8pm,IT
7574503701,35,2024-09-26,Mondays, 6pm - 8pm, AI
7574503701,35,2024-09-26,Mondays, 6pm - 8pm, Tech
7574503701,35,2024-09-26,Mondays, 6pm - 8pm, UX/Psychology based startups
7574503701,35,2024-09-26, Tuesdays,4pm - 6pm,IT
7574503701,35,2024-09-26, Tuesdays,4pm - 6pm, AI
7574503701,35,2024-09-26, Tuesdays,4pm - 6pm, Tech
7574503701,35,2024-09-26, Tuesdays,4pm - 6pm, UX/Psychology based startups
7574503701,35,2024-09-26, Tuesdays, 6pm - 8pm,IT
7574503701,35,2024-09-26, Tuesdays, 6pm - 8pm, AI
7574503701,35,2024-09-26, Tuesdays, 6pm - 8pm, Tech
7574503701,35,2024-09-26, Tuesdays, 6pm - 8pm, UX/Psychology based startups
7574503701,35,2024-09-26, Wednesdays,4pm - 6pm,IT
7574503701,35,2024-09-26, Wednesdays,4pm - 6pm, AI
7574503701,35,2024-09-26, Wednesdays,4pm - 6pm, Tech
7574503701,35,2024-09-26, Wednesdays,4pm - 6pm, UX/Psychology based startups
7574503701,35,2024-09-26, Wednesdays, 6pm - 8pm,IT
7574503701,35,2024-09-26, Wednesdays, 6pm - 8pm, AI
7574503701,35,2024-09-26, Wednesdays, 6pm - 8pm, Tech
7574503701,35,2024-09-26, Wednesdays, 6pm - 8pm, UX/Psychology based startups
7574503701,35,2024-09-26, Fridays,4pm - 6pm,IT
7574503701,35,2024-09-26, Fridays,4pm - 6pm, AI
